	LON	LAT
1001	-161.7165527	69.12359619
1002	-160.7165527	69.12359619
1003	-159.7165527	69.12359619
1004	-158.7165527	69.12359619
1005	-157.7165527	69.12359619
1006	-156.7165527	69.12359619
1007	-155.7165527	69.12359619
1008	-154.7165527	69.12359619
1009	-153.7165527	69.12359619
1010	-152.7165527	69.12359619
1011	-151.7165527	69.12359619
1012	-150.7165527	69.12359619
1013	-149.7165527	69.12359619
1014	-148.7165527	69.12359619
1015	-147.7165527	69.12359619
1016	-146.7165527	69.12359619
1017	-145.7165527	69.12359619
1018	-144.7165527	69.12359619
1019	-143.7165527	69.12359619
1020	-142.7165527	69.12359619
1021	-141.7165527	69.12359619
1022	-140.7195049	69.1183215
1023	-139.7251352	69.10251772
1024	-138.7561904	68.98466847
1025	-137.7548598	68.84260716
1026	-135.5701171	69.11531697
1027	-134.7282291	69.22481974
1028	-133.7058631	68.99735992
1029	-132.7433474	69.38322212
1030	-131.6806472	69.00143621
1031	-130.6886162	69.06405978
1032	-129.7165527	69.12359619
1033	-128.7165527	69.12359619
1111	-165.6759865	68.36278248
1112	-164.6803214	68.21066961
1113	-163.7162366	68.12394317
1114	-162.7165527	68.12359619
1115	-161.7165527	68.12359619
1116	-160.7165527	68.12359619
1117	-159.7165527	68.12359619
1118	-158.7165527	68.12359619
1119	-157.7165527	68.12359619
1120	-156.7165527	68.12359619
1121	-155.7165527	68.12359619
1122	-154.7165527	68.12359619
1123	-153.7165527	68.12359619
1124	-152.7165527	68.12359619
1125	-151.7165527	68.12359619
1126	-150.7165527	68.12359619
1127	-149.7165527	68.12359619
1128	-148.7165527	68.12359619
1129	-147.7165527	68.12359619
1130	-146.7165527	68.12359619
1131	-145.7165527	68.12359619
1132	-144.7165527	68.12359619
1133	-143.7165527	68.12359619
1134	-142.7165527	68.12359619
1135	-141.7165527	68.12359619
1136	-140.7165527	68.12359619
1137	-139.7165527	68.12359619
1138	-138.7165527	68.12359619
1139	-137.7165527	68.12359619
1140	-136.7165527	68.12359619
1141	-135.7165527	68.12359619
1142	-134.7165527	68.12359619
1143	-133.7165527	68.12359619
1144	-132.7165527	68.12359619
1145	-131.7165527	68.12359619
1146	-130.7165527	68.12359619
1147	-129.7165527	68.12359619
1148	-128.7165527	68.12359619
1149	-127.7165527	68.12359619
1150	-126.7165527	68.12359619
1151	-125.7165527	68.12359619
1152	-124.7165527	68.12359619
1153	-123.7165527	68.12359619
1154	-122.7165527	68.12359619
1155	-121.7165527	68.12359619
1156	-120.7165527	68.12359619
1157	-119.7165527	68.12359619
1158	-118.7165527	68.12359619
1220	-163.5488316	67.37848898
1221	-162.7123056	67.32919237
1222	-161.6571888	67.18424396
1223	-160.7147892	67.13281369
1224	-159.7165527	67.12359619
1225	-158.7165527	67.12359619
1226	-157.7165527	67.12359619
1227	-156.7165527	67.12359619
1228	-155.7165527	67.12359619
1229	-154.7165527	67.12359619
1230	-153.7165527	67.12359619
1231	-152.7165527	67.12359619
1232	-151.7165527	67.12359619
1233	-150.7165527	67.12359619
1234	-149.7165527	67.12359619
1235	-148.7165527	67.12359619
1236	-147.7165527	67.12359619
1237	-146.7165527	67.12359619
1238	-145.7165527	67.12359619
1239	-144.7165527	67.12359619
1240	-143.7165527	67.12359619
1241	-142.7165527	67.12359619
1242	-141.7165527	67.12359619
1243	-140.7165527	67.12359619
1244	-139.7165527	67.12359619
1245	-138.7165527	67.12359619
1246	-137.7165527	67.12359619
1247	-136.7165527	67.12359619
1248	-135.7165527	67.12359619
1249	-134.7165527	67.12359619
1250	-133.7165527	67.12359619
1251	-132.7165527	67.12359619
1252	-131.7165527	67.12359619
1253	-130.7165527	67.12359619
1254	-129.7165527	67.12359619
1255	-128.7165527	67.12359619
1256	-127.7165527	67.12359619
1257	-126.7165527	67.12359619
1258	-125.7165527	67.12359619
1259	-124.7165527	67.12359619
1260	-123.7165527	67.12359619
1261	-122.7165527	67.12359619
1262	-121.7165527	67.12359619
1263	-120.7165527	67.12359619
1264	-119.7165527	67.12359619
1265	-118.7165527	67.12359619
1266	-117.7165527	67.12359619
1338	-165.66383	65.96030208
1339	-164.6962696	66.07374993
1340	-163.8059335	65.99982867
1341	-162.7239113	65.84542705
1342	-161.668842	65.89151683
1343	-160.7158339	66.01145073
1344	-159.7157053	66.12333645
1345	-158.7165527	66.12359619
1346	-157.7165527	66.12359619
1347	-156.7165527	66.12359619
1348	-155.7165527	66.12359619
1349	-154.7165527	66.12359619
1350	-153.7165527	66.12359619
1351	-152.7165527	66.12359619
1352	-151.7165527	66.12359619
1353	-150.7165527	66.12359619
1354	-149.7165527	66.12359619
1355	-148.7165527	66.12359619
1356	-147.7165527	66.12359619
1357	-146.7165527	66.12359619
1358	-145.7165527	66.12359619
1359	-144.7165527	66.12359619
1360	-143.7165527	66.12359619
1361	-142.7165527	66.12359619
1362	-141.7165527	66.12359619
1363	-140.7165527	66.12359619
1364	-139.7165527	66.12359619
1365	-138.7165527	66.12359619
1366	-137.7165527	66.12359619
1367	-136.7165527	66.12359619
1368	-135.7165527	66.12359619
1369	-134.7165527	66.12359619
1370	-133.7165527	66.12359619
1371	-132.7165527	66.12359619
1372	-131.7165527	66.12359619
1373	-130.7165527	66.12359619
1374	-129.7165527	66.12359619
1375	-128.7165527	66.12359619
1376	-127.7165527	66.12359619
1377	-126.7165527	66.12359619
1378	-125.7165527	66.12359619
1379	-124.7165527	66.12359619
1380	-123.7165527	66.12359619
1381	-122.7165527	66.12359619
1382	-121.7165527	66.12359619
1383	-120.7165527	66.12359619
