385	10 (C D E F G H I J K L)
Myiarchus_tuberculifer	1001001000
Myiarchus_tyrannulus	1001001000
Myiarchus_venezuelensis	1100001000
Myiarchus_yucatanensis	1001000000
Myiobius_atricaudus	0101001000
Myiobius_barbatus	0101001000
Myiobius_sulphureipygius	1001000001
Myiobius_villosus	1001000000
Myiodynastes_bairdii	1100000000
Myiodynastes_chrysocephalus	0001000010
Myiodynastes_hemichrysus	0001000000
Myiodynastes_luteiventris	1001000000
Myiodynastes_maculatus	0101001000
Myiopagis_caniceps	1001001000
Myiopagis_flavivertex	1001001000
Myiopagis_gaimardii	1001001000
Myiopagis_olallai	0001000000
Myiopagis_subplacens	1001000000
Myiopagis_viridicata	1001001000
Myiophobus_cryptoxanthus	0001000000
Myiophobus_fasciatus	0101001000
Myiophobus_flavicans	1001000010
Myiophobus_inornatus	0001000000
Myiophobus_phoenicomitra	0001000000
Myiophobus_roraimae	0001001000
Myiornis_albiventris	0001000000
Myiornis_atricapillus	0001000001
Myiornis_auricularis	0001001000
Myiornis_ecaudatus	1001001000
Myiotheretes_fumigatus	0001000010
Myiotheretes_fuscorufus	0001000010
Myiotheretes_pernix	0001000000
Myiotheretes_striaticollis	0001000010
Myiotriccus_ornatus	1001000000
Myiozetetes_cayanensis	1001001000
Myiozetetes_granadensis	0001001000
Myiozetetes_luteiventris	0001001000
Myiozetetes_similis	1001001000
Neopipo_cinnamomea	0001001000
Neoxolmis_rufiventris	0000001100
Ochthoeca_cinnamomeiventris	1001000010
Ochthoeca_diadema	1001000000
Ochthoeca_frontalis	0001000010
Ochthoeca_fumicolor	1001000010
Ochthoeca_jelskii	0101000010
Ochthoeca_leucophrys	0001000010
Ochthoeca_oenanthoides	0011000010
Ochthoeca_piurae	0001000000
Ochthoeca_pulchella	0001000010
Ochthoeca_rufipectoralis	0001000010
Ochthornis_littoralis	0001001000
Oncostoma_cinereigulare	1001000000
Oncostoma_olivaceum	1101000000
Onychorhynchus_coronatus	1001001000
Ornithion_brunneicapillus	1001000000
Ornithion_inerme	0001001000
Ornithion_semiflavum	1001001000
Phaeomyias_murina	0101001000
Phyllomyias_burmeisteri	0001001000
Phyllomyias_cinereiceps	0001000010
Phyllomyias_fasciatus	0101001000
Phyllomyias_griseiceps	0001000000
Phyllomyias_griseocapilla	0001001000
Phyllomyias_nigrocapillus	0001000010
Phyllomyias_plumbeiceps	0001000000
Phyllomyias_reiseri	0001001000
Phyllomyias_sclateri	1001000010
Phyllomyias_urichi	0101000000
Phyllomyias_uropygialis	1001000010
Phyllomyias_virescens	1001001000
Phyllomyias_weedeni	1001000000
Phylloscartes_beckeri	1010001000
Phylloscartes_ceciliae	0101000000
Phylloscartes_chapmani	0001001000
Phylloscartes_difficilis	0001000000
Phylloscartes_eximius	0001001000
Phylloscartes_flavovirens	1001000001
Phylloscartes_gualaquizae	0001000000
Phylloscartes_kronei	0001000001
Phylloscartes_lanyoni	1001000000
Phylloscartes_nigrifrons	0001001000
Phylloscartes_ophthalmicus	1001000010
Phylloscartes_orbitalis	0001000000
Phylloscartes_oustaleti	0001000000
Phylloscartes_parkeri	0001000000
Phylloscartes_paulista	0001001000
Phylloscartes_poecilotis	0001000010
Phylloscartes_roquettei	1100001000
Phylloscartes_superciliaris	0001000000
Phylloscartes_sylviolus	0001001000
Phylloscartes_venezuelanus	0101000000
Phylloscartes_ventralis	0001001000
Phylloscartes_virescens	0001001000
Pitangus_lictor	1001001000
Pitangus_sulphuratus	1001001000
Platyrinchus_cancrominus	1001000000
Platyrinchus_coronatus	1001001000
Platyrinchus_flavigularis	0001000000
Platyrinchus_leucoryphus	0001001000
Platyrinchus_mystaceus	0101001000
Platyrinchus_platyrhynchos	1001001000
Platyrinchus_saturatus	0001001000
Poecilotriccus_albifacies	0001000000
Poecilotriccus_calopterus	0001000000
Poecilotriccus_capitalis	1001000000
Poecilotriccus_fumifrons	0101001000
Poecilotriccus_latirostris	1001001000
Poecilotriccus_luluae	0001000000
Poecilotriccus_plumbeiceps	0001001000
Poecilotriccus_pulchellus	0001000000
Poecilotriccus_ruficeps	1001000010
Poecilotriccus_russatus	0001001000
Poecilotriccus_senex	0001000000
Poecilotriccus_sylvia	1001001000
Polioxolmis_rufipennis	1101000000
Polystictus_pectoralis	1000001100
Polystictus_superciliaris	0001001000
Pseudelaenia_leucospodia	1100000000
Pseudocolopteryx_acutipennis	0001001010
Pseudocolopteryx_dinelliana	0001001100
Pseudocolopteryx_flaviventris	0000001100
Pseudocolopteryx_sclateri	0001001100
Pseudotriccus_pelzelni	1001000000
Pseudotriccus_ruficeps	0001000010
Pseudotriccus_simplex	0001000000
Pyrocephalus_rubinus	1001001000
Pyrrhomyias_cinnamomeus	1001000000
Ramphotrigon_fuscicauda	0001000000
Ramphotrigon_megacephalum	0001001000
Ramphotrigon_ruficauda	1001001000
Rhynchocyclus_brevirostris	1001000001
Rhynchocyclus_fulvipectus	1001000010
Rhynchocyclus_olivaceus	0001001000
Rhynchocyclus_pacificus	0001000000
Rhytipterna_holerythra	1001000001
Rhytipterna_immunda	0001001000
Rhytipterna_simplex	0001001000
Satrapa_icterophrys	1001001000
Sayornis_nigricans	1101000000
Sayornis_phoebe	0010100100
Sayornis_saya	0110000100
Serpophaga_cinerea	1001000010
Serpophaga_hypoleuca	0001001000
Serpophaga_munda	0001001100
Serpophaga_nigricans	0001001100
Serpophaga_subcristata	0001001100
Sirystes_sibilator	1001001000
Stigmatura_budytoides	0000001100
Stigmatura_napensis	0001000000
Sublegatus_arenarum	1001001000
Sublegatus_modestus	1001001000
Sublegatus_obscurior	0001001000
Suiriri_affinis	1001001000
Suiriri_suiriri	1000001100
Tachuris_rubrigastra	0001001100
Taeniotriccus_andrei	1001001000
Terenotriccus_erythrurus	1001001000
Todirostrum_chrysocrotaphum	1001001000
Todirostrum_cinereum	1001001000
Todirostrum_maculatum	1001001000
Todirostrum_nigriceps	0001000000
Todirostrum_pictum	0001001000
Todirostrum_poliocephalum	0001001000
Todirostrum_viridanum	1000000000
Tolmomyias_assimilis	0001001000
Tolmomyias_flaviventris	0101001000
Tolmomyias_poliocephalus	0001001000
Tolmomyias_sulphurescens	1001001000
Tolmomyias_traylori	0001000000
Tumbezia_salvini	1100000000
Tyrannopsis_sulphurea	0101001000
Tyrannulus_elatus	1001001000
Tyrannus_albogularis	1001001000
Tyrannus_couchii	0101000000
Tyrannus_crassirostris	1100000001
Tyrannus_dominicensis	1001001000
Tyrannus_forficatus	1100000100
