LONG	LAT	SES.SIZE.DISPARITY	SES.SHAPE.VENTRAL
-58.28	-32.87	1.690210036	-0.440887253
-57.28	-32.87	2.001888374	0.262262283
-56.28	-32.87	2.525140165	0.537612088
-55.28	-32.87	1.498214188	0.381209688
-54.28	-32.87	2.103956757	0.40189442
-53.28	-32.87	1.375741011	0.490072439
-71.28	-31.87	-0.60526094	-1.406089518
-70.28	-31.87	-0.766175008	-2.095862311
-69.28	-31.87	-0.570510309	-1.837995915
-68.28	-31.87	-0.601098328	-2.413263051
-67.28	-31.87	-0.495694174	-2.236752113
-66.28	-31.87	-0.27521569	-0.92206373
-65.28	-31.87	-0.15823404	-1.098141593
-64.28	-31.87	-0.346389332	-1.401855367
-63.28	-31.87	0.044953604	-0.496920082
-62.28	-31.87	-0.25295455	-0.295892753
-61.28	-31.87	0.377155128	-0.11462065
-60.28	-31.87	1.229215827	0.281555171
-59.28	-31.87	1.352670994	-0.397713482
-58.28	-31.87	1.350050379	-0.423909562
-57.28	-31.87	1.09095949	-0.458225168
-56.28	-31.87	1.72468225	0.56846283
-55.28	-31.87	1.451141552	0.248420525
-54.28	-31.87	1.849173133	0.533466426
-53.28	-31.87	1.376957616	1.326653764
-52.28	-31.87	0.969606172	0.881454271
-71.28	-30.87	-0.754611844	-1.278789422
-70.28	-30.87	-0.764342251	-2.030302454
-69.28	-30.87	-0.622077582	-1.738161367
-68.28	-30.87	-0.583964096	-2.099590959
-67.28	-30.87	-0.60273542	-2.278600257
-66.28	-30.87	-0.38222836	-1.401543713
-65.28	-30.87	-0.358572448	-1.073225437
-64.28	-30.87	-0.298210834	-1.124511602
-63.28	-30.87	-0.370243061	-1.173036739
-62.28	-30.87	-0.192930638	-0.359965011
-61.28	-30.87	0.651595733	-0.169839301
-60.28	-30.87	1.515375526	0.174385612
-59.28	-30.87	1.247379554	-0.251382655
-58.28	-30.87	1.497119389	-0.221966229
-57.28	-30.87	2.199280989	-0.416655594
-56.28	-30.87	0.67959884	-1.121971852
-55.28	-30.87	1.691881706	-0.381592161
-54.28	-30.87	2.224576449	0.585942745
-53.28	-30.87	2.710849592	1.132213904
-52.28	-30.87	2.159701435	0.940972167
-51.28	-30.87	1.842218808	0.469212085
-71.28	-29.87	-0.659292981	-1.783157419
-70.28	-29.87	-0.877829736	-1.422338664
-69.28	-29.87	-0.459434346	-1.455746922
-68.28	-29.87	-0.501656559	-1.511653691
-67.28	-29.87	-0.773343454	-2.810170089
-66.28	-29.87	-0.55821817	-2.447258485
-65.28	-29.87	-0.345643583	-1.264945979
-64.28	-29.87	-0.553739723	-1.526373283
-63.28	-29.87	-0.311446543	-0.800726816
-62.28	-29.87	-0.28777769	-0.270467529
-61.28	-29.87	0.475897938	-0.160261801
-60.28	-29.87	0.815720937	0.085521747
-59.28	-29.87	1.852985957	-0.462740914
-58.28	-29.87	0.748104739	-0.306810793
-57.28	-29.87	1.277816783	-0.252472584
-56.28	-29.87	1.289079987	-0.657384904
-55.28	-29.87	2.315543906	-0.283207451
-54.28	-29.87	2.124327953	-0.507115431
-53.28	-29.87	1.69787121	0.542333287
-52.28	-29.87	1.339480249	1.046829008
-51.28	-29.87	1.608183503	-0.349001174
-50.28	-29.87	1.428814806	-0.233545325
-71.28	-28.87	-0.459058041	-1.657025163
-70.28	-28.87	-0.629403536	-1.690443178
-69.28	-28.87	-0.464300779	-1.604099436
-68.28	-28.87	-0.490689391	-1.076592157
-67.28	-28.87	-0.788374235	-1.788047336
-66.28	-28.87	-0.324364092	-1.731056053
-65.28	-28.87	-0.570950984	-2.159489182
-64.28	-28.87	-0.48443723	-2.39285685
-63.28	-28.87	-0.627063588	-1.726855685
-62.28	-28.87	-0.448215668	-1.295768488
-61.28	-28.87	-0.519575051	-1.34522586
-60.28	-28.87	1.159448042	-0.773774437
-59.28	-28.87	0.747321175	-0.473014621
-58.28	-28.87	0.272319207	-0.090171756
-57.28	-28.87	0.493031823	-0.079205191
-56.28	-28.87	1.063666607	-0.212171113
-55.28	-28.87	1.025958654	0.121418777
-54.28	-28.87	2.438462839	0.543407649
-53.28	-28.87	3.231880538	-0.157079925
-52.28	-28.87	2.129519653	0.454001904
-51.28	-28.87	1.427101943	0.059644504
-50.28	-28.87	1.19127188	0.389846905
-49.28	-28.87	1.401016983	0.512441805
-70.28	-27.87	-0.657598481	-1.595714353
-69.28	-27.87	-0.654008555	-1.955831192
-68.28	-27.87	-0.395108605	-0.922093519
-67.28	-27.87	-0.635088559	-1.214893586
-66.28	-27.87	-0.662008445	-1.937225302
-65.28	-27.87	-0.602167759	-1.605062134
-64.28	-27.87	-0.75031947	-2.492954422
-63.28	-27.87	-0.581223543	-2.280793423
-62.28	-27.87	-0.311237089	-1.745360198
-61.28	-27.87	-0.426533087	-1.18035207
-60.28	-27.87	-0.05372825	-1.062287624
-59.28	-27.87	0.859294604	-1.023245886
-58.28	-27.87	0.762300365	-0.418010004
-57.28	-27.87	0.559025334	-0.330210568
-56.28	-27.87	0.496384491	0.714659697
-55.28	-27.87	0.813195473	0.281421546
-54.28	-27.87	1.311347904	0.142288518
-53.28	-27.87	1.972480232	0.163739173
-52.28	-27.87	1.282668062	-0.38908523
-51.28	-27.87	1.506378853	0.382408611
-50.28	-27.87	1.465436488	0.204876865
-49.28	-27.87	1.354883627	0.131896471
-70.28	-26.87	-0.595034143	-2.100226116
-69.28	-26.87	-0.515198817	-1.173460097
-68.28	-26.87	-0.48277821	-0.952456655
-67.28	-26.87	-0.518254631	-0.967438863
-66.28	-26.87	-0.469407378	-2.334292104
-65.28	-26.87	-0.581687798	-2.364015613
-64.28	-26.87	-0.698731948	-2.513749816
-63.28	-26.87	-0.565676211	-2.289019886
-62.28	-26.87	-0.530533543	-2.086907769
-61.28	-26.87	-0.577023992	-2.134097846
-60.28	-26.87	-0.05605712	-2.0784133
-59.28	-26.87	0.285986278	-1.33622668
-58.28	-26.87	1.397183426	-0.876412698
-57.28	-26.87	0.56187424	-0.470136957
-56.28	-26.87	2.149249649	0.390208484
-55.28	-26.87	0.427190766	-0.089857249
-54.28	-26.87	0.772287968	0.266792787
-53.28	-26.87	1.064357126	0.057605675
-52.28	-26.87	0.845949381	0.074418932
-51.28	-26.87	1.303109723	0.931976008
-50.28	-26.87	1.33550237	-0.097645568
-49.28	-26.87	0.992400048	-0.305405436
-70.28	-25.87	-0.586095594	-1.766615111
-69.28	-25.87	-0.521781106	-1.873283092
-68.28	-25.87	-0.586031694	-1.143332019
-67.28	-25.87	-0.550531519	-0.856899694
-66.28	-25.87	-0.5589332	-2.122422365
-65.28	-25.87	-0.581175858	-2.906332979
-64.28	-25.87	-0.45671371	-2.647974659
-63.28	-25.87	-0.751066788	-2.599655891
-62.28	-25.87	-0.661233331	-2.458570016
-61.28	-25.87	-0.70784793	-2.450661934
-60.28	-25.87	-0.871286012	-2.929016174
-59.28	-25.87	0.473660826	-1.876150802
-58.28	-25.87	0.411075519	-1.858693467
-57.28	-25.87	0.88842434	-1.318539127
-56.28	-25.87	1.914524142	-0.895374396
-55.28	-25.87	0.825560175	-0.538947835
-54.28	-25.87	1.012889888	0.336981035
-53.28	-25.87	0.450250386	0.329612021
-52.28	-25.87	0.832977828	0.269790458
-51.28	-25.87	0.790599521	0.381299549
-50.28	-25.87	0.571564892	0.997415131
-49.28	-25.87	0.604510014	0.825750053
-70.28	-24.87	-0.557319626	-1.559267458
-69.28	-24.87	-0.508043151	-2.072145619
-68.28	-24.87	-0.836921763	-1.596471524
-67.28	-24.87	-0.476520691	-0.928741837
-66.28	-24.87	-0.961006689	-2.223974448
-65.28	-24.87	-0.882854722	-2.676378296
-64.28	-24.87	-0.638042124	-1.974405925
-63.28	-24.87	-0.47836682	-2.166247343
-62.28	-24.87	-0.667443477	-2.485798318
-61.28	-24.87	-0.747265153	-2.162914409
-60.28	-24.87	-0.58639126	-2.190392762
-59.28	-24.87	0.385683209	-2.118513522
-58.28	-24.87	0.717112519	-1.403086537
-57.28	-24.87	0.799812095	-1.175756136
-56.28	-24.87	1.149492667	-1.691578775
-55.28	-24.87	2.279905824	-0.801084572
-54.28	-24.87	1.479769135	0.241546823
-53.28	-24.87	1.292847891	0.016839801
-52.28	-24.87	0.941019892	0.113571473
-51.28	-24.87	0.471775649	0.818665928
-50.28	-24.87	0.471356864	0.507227985
-49.28	-24.87	0.557815332	0.384022762
-48.28	-24.87	0.685446071	0.780202029
-70.28	-23.87	-0.401359468	-1.609596199
-69.28	-23.87	-0.637332113	-1.733650171
-68.28	-23.87	-0.630328158	-1.649621211
-67.28	-23.87	-0.71354128	-1.526332103
-66.28	-23.87	-1.074240291	-2.074244106
-65.28	-23.87	-0.933198444	-2.639222092
-64.28	-23.87	-0.880491623	-2.574606661
-63.28	-23.87	0.083823384	-1.287845055
-62.28	-23.87	-0.877997972	-2.38934664
-61.28	-23.87	-1.006991361	-2.320445373
-60.28	-23.87	-0.617315088	-2.317262785
-59.28	-23.87	-0.03431247	-2.305921955
-58.28	-23.87	0.883041372	-2.240810745
-57.28	-23.87	0.377167748	-1.686719691
-56.28	-23.87	0.832866739	-1.687694019
-55.28	-23.87	1.028556293	-0.672160503
-54.28	-23.87	1.557426128	-0.322387914
-53.28	-23.87	1.374043606	-0.927394571
-52.28	-23.87	0.988466776	0.100242441
-51.28	-23.87	0.706084807	0.379356639
-50.28	-23.87	0.637510835	1.378153464
-49.28	-23.87	0.517559505	0.828290163
-48.28	-23.87	0.617719801	0.283523625
-47.28	-23.87	0.637373527	0.215779832
-46.28	-23.87	0.590536081	0.243293626
-70.28	-22.87	-0.294633383	-1.238488049
-69.28	-22.87	-0.50969551	-2.285176572
-68.28	-22.87	-0.87655616	-2.431335831
-67.28	-22.87	-0.529044151	-1.281059645
-66.28	-22.87	-0.722481433	-1.179743896
-65.28	-22.87	-0.931799342	-2.366567225
-64.28	-22.87	-0.936919874	-2.296185599
-63.28	-22.87	-0.243668454	-1.170213496
-62.28	-22.87	-0.250819785	-1.828895382
-61.28	-22.87	-0.598336136	-2.483349442
-60.28	-22.87	-0.591900713	-2.313092546
-59.28	-22.87	-0.200675505	-2.543120145
-58.28	-22.87	0.547502953	-2.270197374
-57.28	-22.87	1.035280303	-1.656674517
-56.28	-22.87	1.227763125	-1.051142792
-55.28	-22.87	0.955425303	-1.352675856
-54.28	-22.87	1.644503087	-0.097809169
-53.28	-22.87	0.536796453	-1.036233926
-52.28	-22.87	0.899818575	-1.049133704
-51.28	-22.87	0.83358172	-1.521340035
-50.28	-22.87	0.754823834	-0.336636152
-49.28	-22.87	1.476958846	0.984178608
-48.28	-22.87	0.45258676	0.563415785
-47.28	-22.87	0.619818791	0.432205468
-46.28	-22.87	0.502330137	0.289905033
-45.28	-22.87	0.503285449	0.003155735
-44.28	-22.87	0.493238399	0.356679255
-43.28	-22.87	0.770085524	0.059189031
-42.28	-22.87	0.894402749	0.314879351
-69.28	-21.87	-0.662982468	-2.517317978
-68.28	-21.87	-0.755620511	-2.597823483
-67.28	-21.87	-0.640851773	-1.12977558
-66.28	-21.87	-0.619027429	-1.853327137
-65.28	-21.87	-0.879776555	-2.363675609
-64.28	-21.87	-0.970268355	-2.471989183
-63.28	-21.87	-0.189670054	-1.930255065
-62.28	-21.87	-0.290944269	-1.993179512
-61.28	-21.87	-0.593701325	-2.230960418
-60.28	-21.87	-0.141973493	-2.214988801
-59.28	-21.87	-0.032135647	-2.232959772
-58.28	-21.87	0.594287908	-2.246632437
-57.28	-21.87	0.344932793	-2.086684781
-56.28	-21.87	0.476049306	-1.803600027
-55.28	-21.87	0.599086505	-1.593919621
-54.28	-21.87	0.422072997	-1.865703538
-53.28	-21.87	0.176783006	-1.493394735
-52.28	-21.87	0.292919167	-1.568039632
-51.28	-21.87	0.55625221	-0.953434449
-50.28	-21.87	0.442096408	-1.325007091
-49.28	-21.87	0.483950133	-1.022448553
-48.28	-21.87	0.693330822	-0.331280086
-47.28	-21.87	0.695993924	0.119892474
-46.28	-21.87	0.42693649	-0.213771059
-45.28	-21.87	0.337660726	-0.123731334
-44.28	-21.87	0.741854533	-0.179594702
-43.28	-21.87	0.980299557	0.157072764
-42.28	-21.87	0.977741864	0.255161039
-41.28	-21.87	0.793208937	0.321660578
-69.28	-20.87	-0.709161913	-2.203389509
-68.28	-20.87	-0.933894584	-1.938856424
-67.28	-20.87	-0.525068052	-1.06224303
-66.28	-20.87	-0.813809866	-2.591923242
-65.28	-20.87	-0.751947101	-2.261918382
-64.28	-20.87	-0.86267916	-2.378001404
-63.28	-20.87	-0.33542898	-1.450783369
-62.28	-20.87	-0.435997647	-2.253256398
-61.28	-20.87	-0.420966286	-1.973398269
-60.28	-20.87	-0.197300223	-2.235652904
-59.28	-20.87	-0.101205954	-2.74780639
-58.28	-20.87	0.219660519	-2.088345411
-57.28	-20.87	0.17483863	-1.628664862
-56.28	-20.87	0.655529661	-1.777969021
-55.28	-20.87	0.125808793	-2.229914063
-54.28	-20.87	-0.055939818	-2.147482568
-53.28	-20.87	0.15549199	-1.855154375
-52.28	-20.87	-0.067185492	-1.366968931
-51.28	-20.87	0.101259963	-1.551941409
-50.28	-20.87	0.659144619	-1.03745471
-49.28	-20.87	0.205763521	-0.861114892
-48.28	-20.87	0.369011219	-1.443518759
-47.28	-20.87	0.895477422	-0.021429929
-46.28	-20.87	4.815905073	0.887257859
-45.28	-20.87	3.322296358	0.805756696
-44.28	-20.87	2.672914977	0.329703819
-43.28	-20.87	3.995108625	0.511503264
-42.28	-20.87	0.679154403	-0.512762529
-41.28	-20.87	0.53834229	-0.633869547
-69.28	-19.87	-0.808273627	-2.3224264
-68.28	-19.87	-0.649265032	-1.587092436
-67.28	-19.87	-0.558769277	-1.528678869
-66.28	-19.87	-0.659827976	-1.648084463
-65.28	-19.87	-0.83856185	-1.6622646
-64.28	-19.87	-0.778019864	-2.386809293
-63.28	-19.87	0.177389915	-0.556674882
-62.28	-19.87	-0.135139448	-0.877015488
-61.28	-19.87	0.002336772	-1.514066784
-60.28	-19.87	-0.310375413	-2.301534514
-59.28	-19.87	-0.375133538	-2.453599439
-58.28	-19.87	0.073006029	-2.208154249
-57.28	-19.87	0.035050269	-2.065477883
-56.28	-19.87	-0.363745763	-2.238374355
-55.28	-19.87	-0.102760229	-2.262386568
-54.28	-19.87	0.098935322	-2.232764563
-53.28	-19.87	-0.085878116	-1.868482474
-52.28	-19.87	3.416331188	-0.879742178
-51.28	-19.87	3.813896272	-0.691427106
-50.28	-19.87	2.955951537	-0.910404693
-49.28	-19.87	3.291238836	-0.313291024
-48.28	-19.87	3.800034054	-0.373015191
-47.28	-19.87	3.742857347	-0.596250972
-46.28	-19.87	3.258079835	0.351170801
-45.28	-19.87	3.318636562	0.635753849
-44.28	-19.87	4.911866054	0.661401813
-43.28	-19.87	3.064053675	0.720978236
-42.28	-19.87	1.032071375	-0.376399753
-41.28	-19.87	0.771923923	-0.42527966
-40.28	-19.87	0.540009591	-0.549192939
-70.28	-18.87	-0.314871735	-1.465543338
-69.28	-18.87	-0.395490771	-1.542396653
-68.28	-18.87	-0.200590406	-1.143524974
-67.28	-18.87	-0.781255021	-2.073305843
-66.28	-18.87	-0.745268072	-1.773003649
-65.28	-18.87	-0.817769628	-1.362112926
-64.28	-18.87	-0.132935871	-0.935008449
-63.28	-18.87	-0.033370833	-0.898973895
-62.28	-18.87	-0.080765636	-1.58524837
-61.28	-18.87	-0.224789456	-1.472856158
-60.28	-18.87	-0.17175208	-1.943100869
-59.28	-18.87	-0.069718047	-1.442781263
-58.28	-18.87	0.101555238	-2.766971445
-57.28	-18.87	-0.251541638	-2.577846012
-56.28	-18.87	-0.492630748	-2.084820114
-55.28	-18.87	1.823454165	-1.457165966
-54.28	-18.87	3.576331683	-1.254171751
-53.28	-18.87	4.396046797	-1.426410324
-52.28	-18.87	2.714757929	-0.811929786
-51.28	-18.87	4.118901764	-0.900613617
-50.28	-18.87	2.990042405	-0.92964974
-49.28	-18.87	2.964416814	-0.227817868
-48.28	-18.87	4.409180799	-0.134286248
-47.28	-18.87	2.859258678	0.169844031
-46.28	-18.87	3.528216596	0.183158934
-45.28	-18.87	2.571019381	-0.178198966
-44.28	-18.87	3.568906472	0.830047808
-43.28	-18.87	3.236945929	0.738369212
-42.28	-18.87	0.773249139	0.563449618
-41.28	-18.87	0.791023869	-0.806024712
-40.28	-18.87	1.149776202	-0.386156435
